lag,n_obs,df_num,df_den,sse_restricted,sse_unrestricted,f_stat,p_value,model,display,predictors,controls,story
4,6205,20,6170,340799938733.01013,333147248529.9349,7.086520864471683,4.3798904558128e-20,Decomposition_Month_Weighted,Decomposition Model,"Cd_month_w, Ca_month_w, P_month_w, W_month_w, S_month_w","rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",KTCI를 Cd/Ca/P/W/S 월 기준 계절 가중 성분으로 분해
5,6204,25,6163,340024534726.2549,332477293915.354,5.596008626011509,1.0331123964161425e-17,Decomposition_Month_Weighted,Decomposition Model,"Cd_month_w, Ca_month_w, P_month_w, W_month_w, S_month_w","rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",KTCI를 Cd/Ca/P/W/S 월 기준 계절 가중 성분으로 분해
6,6203,30,6156,337816218986.7516,330063184750.58093,4.820054761528256,1.0379995517828031e-16,Decomposition_Month_Weighted,Decomposition Model,"Cd_month_w, Ca_month_w, P_month_w, W_month_w, S_month_w","rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",KTCI를 Cd/Ca/P/W/S 월 기준 계절 가중 성분으로 분해
7,6202,35,6149,321625218891.4912,314657666832.74457,3.890257537930801,1.1207259484572338e-13,Decomposition_Month_Weighted,Decomposition Model,"Cd_month_w, Ca_month_w, P_month_w, W_month_w, S_month_w","rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",KTCI를 Cd/Ca/P/W/S 월 기준 계절 가중 성분으로 분해
1,6208,5,6191,363005686977.52954,350804337576.73157,43.06591797703623,8.811443861091965e-44,Decomposition_a_TempSeason_Weighted,Decomposition-a Model,"Cd_temp_w, Ca_temp_w, P_temp_w, W_temp_w, S_temp_w","rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",KTCI-a를 Cd/Ca/P/W/S 기온 기준 계절 가중 성분으로 분해
2,6207,10,6184,349116772749.2715,338771580939.89264,18.884307228990863,1.243690846047443e-34,Decomposition_a_TempSeason_Weighted,Decomposition-a Model,"Cd_temp_w, Ca_temp_w, P_temp_w, W_temp_w, S_temp_w","rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",KTCI-a를 Cd/Ca/P/W/S 기온 기준 계절 가중 성분으로 분해
3,6206,15,6177,345947315286.86707,336110886498.1582,12.051503054223463,5.078201828046109e-30,Decomposition_a_TempSeason_Weighted,Decomposition-a Model,"Cd_temp_w, Ca_temp_w, P_temp_w, W_temp_w, S_temp_w","rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",KTCI-a를 Cd/Ca/P/W/S 기온 기준 계절 가중 성분으로 분해
4,6205,20,6170,340799938733.01013,331933596122.4934,8.240403283357356,2.082462349683111e-24,Decomposition_a_TempSeason_Weighted,Decomposition-a Model,"Cd_temp_w, Ca_temp_w, P_temp_w, W_temp_w, S_temp_w","rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",KTCI-a를 Cd/Ca/P/W/S 기온 기준 계절 가중 성분으로 분해
5,6204,25,6163,340024534726.2549,331252830872.0529,6.52794552259419,6.541407196014462e-22,Decomposition_a_TempSeason_Weighted,Decomposition-a Model,"Cd_temp_w, Ca_temp_w, P_temp_w, W_temp_w, S_temp_w","rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",KTCI-a를 Cd/Ca/P/W/S 기온 기준 계절 가중 성분으로 분해
6,6203,30,6156,337816218986.7516,329089506051.4388,5.441442104344361,5.956035915849218e-20,Decomposition_a_TempSeason_Weighted,Decomposition-a Model,"Cd_temp_w, Ca_temp_w, P_temp_w, W_temp_w, S_temp_w","rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",KTCI-a를 Cd/Ca/P/W/S 기온 기준 계절 가중 성분으로 분해
7,6202,35,6149,321625218891.4912,313936798303.6955,4.302603804314779,4.785944745142355e-16,Decomposition_a_TempSeason_Weighted,Decomposition-a Model,"Cd_temp_w, Ca_temp_w, P_temp_w, W_temp_w, S_temp_w","rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",KTCI-a를 Cd/Ca/P/W/S 기온 기준 계절 가중 성분으로 분해
