date,year,month,day,dow,dow_name,is_weekend,is_regular_closed_tuesday,closed,others_closed,d_holiday,close_hour,last_entry_hour,scheduled_open_hours_nominal,scheduled_entry_hours_nominal,visitors,cdg_visitors,cgg_visitors,dsg_visitors,paid,free,domestic,english,japanese,chinese,other_foreign,foreign_total,source_year,source_file
2023-09-09,2023,9,9,5,토,1,0,0,0,0,18.0,17.0,9.0,8.0,20684,5399,4360,9686,10656,10028,16724,2151,707,618,484,3960,2023,문화재청_궁능원_관람객_수_현황(2023년).csv
2023-09-10,2023,9,10,6,일,1,0,0,0,0,18.0,17.0,9.0,8.0,19934,4740,2961,7404,10397,9537,16271,2003,649,511,500,3663,2023,문화재청_궁능원_관람객_수_현황(2023년).csv
2023-09-11,2023,9,11,0,월,0,0,0,3,0,18.0,17.0,9.0,8.0,13473,0,0,0,5537,7936,10443,1676,445,761,148,3030,2023,문화재청_궁능원_관람객_수_현황(2023년).csv
2023-09-12,2023,9,12,1,화,0,1,1,0,0,18.0,17.0,9.0,8.0,0,6224,2564,9680,0,0,0,0,0,0,0,0,2023,문화재청_궁능원_관람객_수_현황(2023년).csv
2023-09-13,2023,9,13,2,수,0,0,0,0,0,18.0,17.0,9.0,8.0,15960,2553,1167,3657,7088,8872,13835,1374,409,196,146,2125,2023,문화재청_궁능원_관람객_수_현황(2023년).csv
2023-09-14,2023,9,14,3,목,0,0,0,0,0,18.0,17.0,9.0,8.0,18484,4285,2498,9242,9238,9246,14441,2441,616,637,349,4043,2023,문화재청_궁능원_관람객_수_현황(2023년).csv
2023-09-15,2023,9,15,4,금,0,0,0,0,0,18.0,17.0,9.0,8.0,14258,3289,2140,8368,7393,6865,11959,1181,376,561,181,2299,2023,문화재청_궁능원_관람객_수_현황(2023년).csv
2023-09-16,2023,9,16,5,토,1,0,0,0,0,18.0,17.0,9.0,8.0,20065,5033,3521,10465,11854,8211,14892,2666,1124,673,710,5173,2023,문화재청_궁능원_관람객_수_현황(2023년).csv
2023-09-17,2023,9,17,6,일,1,0,0,0,0,18.0,17.0,9.0,8.0,20117,4743,2850,8454,10901,9216,15555,2163,1056,545,798,4562,2023,문화재청_궁능원_관람객_수_현황(2023년).csv
2023-09-18,2023,9,18,0,월,0,0,0,3,0,18.0,17.0,9.0,8.0,17427,0,0,0,6866,10561,13659,2355,640,451,322,3768,2023,문화재청_궁능원_관람객_수_현황(2023년).csv
2023-09-19,2023,9,19,1,화,0,1,1,0,0,18.0,17.0,9.0,8.0,0,5663,2736,10707,0,0,0,0,0,0,0,0,2023,문화재청_궁능원_관람객_수_현황(2023년).csv
2023-09-20,2023,9,20,2,수,0,0,0,0,0,18.0,17.0,9.0,8.0,12380,1912,827,3573,6173,6207,10597,904,329,420,130,1783,2023,문화재청_궁능원_관람객_수_현황(2023년).csv
2023-09-21,2023,9,21,3,목,0,0,0,0,0,18.0,17.0,9.0,8.0,21112,4149,2949,11988,9721,11391,14421,2754,682,1857,1398,6691,2023,문화재청_궁능원_관람객_수_현황(2023년).csv
2023-09-22,2023,9,22,4,금,0,0,0,0,0,18.0,17.0,9.0,8.0,20944,4149,2662,13022,9003,11941,17268,2349,466,565,296,3676,2023,문화재청_궁능원_관람객_수_현황(2023년).csv
2023-09-23,2023,9,23,5,토,1,0,0,0,0,18.0,17.0,9.0,8.0,23296,6280,5262,14837,12087,11209,17012,3224,736,807,1517,6284,2023,문화재청_궁능원_관람객_수_현황(2023년).csv
2023-09-24,2023,9,24,6,일,1,0,0,0,0,18.0,17.0,9.0,8.0,21417,5815,4049,10916,10996,10421,17115,1648,625,774,1255,4302,2023,문화재청_궁능원_관람객_수_현황(2023년).csv
2023-09-25,2023,9,25,0,월,0,0,0,3,0,18.0,17.0,9.0,8.0,12579,0,0,0,4539,8040,10157,1413,338,637,34,2422,2023,문화재청_궁능원_관람객_수_현황(2023년).csv
