round_id,round_label,program_idx,title_original,title_clean,title_base,place_single,program_type_clean,program_type_group,participation_type_clean,start_date,end_date,duration_days,year,month,season,has_time,start_time_first,end_time_first,duration_minutes_first,detail_url,image_url,has_reward,has_children,has_night,has_music,has_food,has_guide,has_hanbok,has_reservation_notice,has_fee_info,has_rain_notice
26,11회,567,"시간여행, 세종-궁중 일상재현","시간여행, 세종-궁중 일상재현","시간여행, 세종-궁중 일상재현",경복궁,복합,복합형,현장참여,2025-04-26,2025-04-30,5,2025,4,봄,1,11:00,15:00,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=567&searchRound=26&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202503/076534fa772343febd532305c9f8abcf_1742184476605.jpg,0,0,0,1,1,1,0,1,0,1
26,11회,566,2025년 궁중문화축전 개막제,개막제,개막제,경복궁,공식행사,행사형,사전예약,2025-04-25,2025-04-25,1,2025,4,봄,0,,,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=566&searchRound=26&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202503/3d7f5ef9acb54c09b77b166969b6a6fb_1742184257701.jpg,0,1,1,1,1,0,0,1,1,1
26,11회,638,2025 봄 궁중문화축전 스탬프 투어,스탬프 투어,스탬프 투어,경복궁,체험,참여형,현장참여,2025-04-26,2025-05-04,9,2025,4,봄,1,09:00,18:00,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=638&searchRound=26&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202504/cd8e199bf94546c8a26da3f1e2eece73_1745636179347.jpg,1,0,0,0,1,1,0,0,1,1
26,11회,639,2025 봄 궁중문화축전 스탬프 투어,스탬프 투어,스탬프 투어,경복궁,체험,참여형,현장참여,2025-04-26,2025-05-04,9,2025,4,봄,1,09:00,18:00,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=639&searchRound=26&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202504/a911a0edf38f4ddeb9b2dbe737f063ab_1745635668436.jpg,1,0,0,0,1,1,0,0,1,1
26,11회,640,2025 봄 궁중문화축전 스탬프 투어,스탬프 투어,스탬프 투어,경복궁,체험,참여형,현장참여,2025-04-26,2025-05-04,9,2025,4,봄,1,09:00,18:00,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=640&searchRound=26&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202504/444d79ed62d44749925b5026836df37b_1744625737906.jpg,1,0,0,0,1,1,0,0,1,1
26,11회,641,2025 봄 궁중문화축전 스탬프 투어,스탬프 투어,스탬프 투어,경복궁,체험,참여형,현장참여,2025-04-26,2025-05-04,9,2025,4,봄,1,09:00,18:00,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=641&searchRound=26&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202504/6d6a7567ed6848ce9a92bd4b156f9d65_1745635738281.jpg,1,0,0,0,1,1,0,0,1,1
26,11회,642,2025 봄 궁중문화축전 스탬프 투어,스탬프 투어,스탬프 투어,경복궁,체험,참여형,현장참여,2025-04-26,2025-05-04,9,2025,4,봄,1,09:00,18:00,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=642&searchRound=26&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202504/7d5b48678ea84ef1b1edbf2cb1da11b6_1745636161086.jpg,1,0,0,0,1,1,0,0,1,1
23,10회,526,"대한황실문화원 기획 프로그램 - 자경전, 왕(王)의 효심(孝心)으로 물들이다","대한황실문화원 기획 프로그램 - 자경전, 왕(王)의 효심(孝心)으로 물들이다","대한황실문화원 기획 프로그램 - 자경전, 왕(王)의 효심(孝心)으로 물들이다",경복궁,복합,복합형,현장참여,2024-10-09,2024-10-13,5,2024,10,가을,1,10:00,17:00,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=526&searchRound=23&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202408/0286e54418dd4f46aec1832d57c6cbdd_1724820001433.jpg,0,0,0,0,1,0,1,0,1,1
23,10회,525,고궁 속 아름다운 한복 이야기 사진전,고궁 속 아름다운 한복 이야기 사진전,고궁 속 아름다운 한복 이야기 사진전,경복궁,전시,관람형,현장참여,2024-10-09,2024-10-13,5,2024,10,가을,1,10:00,17:00,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=525&searchRound=23&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202410/b36846e8406e48e5ac675102f2df222d_1727925573977.jpg,0,0,0,0,1,0,1,1,0,0
23,10회,524,"인문학 콘서트-한복, 천태만상","인문학 콘서트-한복, 천태만상","인문학 콘서트-한복, 천태만상",경복궁,공연,관람형,사전예약,2024-10-10,2024-10-11,2,2024,10,가을,1,16:00,17:30,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=524&searchRound=23&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202408/fac20bb9050a46b7b9d83090efba1b3d_1724819672603.png,1,1,0,1,1,0,1,1,1,1
23,10회,523,경복궁 상의원,경복궁 상의원,상의원,경복궁,체험,참여형,사전예약,2024-10-09,2024-10-13,5,2024,10,가을,1,10:00,17:00,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=523&searchRound=23&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202408/9b587dc2b32e4a58b1d988f97e5b06a4_1724734359528.jpg,0,0,1,0,1,0,1,1,1,1
23,10회,522,경복궁 한복 연향,경복궁 한복 연향,한복 연향,경복궁,복합,복합형,사전예약,2024-10-09,2024-10-09,1,2024,10,가을,1,19:00,21:00,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=522&searchRound=23&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202408/81c4b752f57c4a04b96bde33292e1e82_1724733991607.jpg,0,1,1,1,1,1,1,1,1,1
23,10회,520,궁중문화축전 길놀이,길놀이,길놀이,경복궁,공연,관람형,현장참여,2024-10-12,2024-10-12,1,2024,10,가을,1,13:30,15:30,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=520&searchRound=23&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202408/b66c88ce010d4ef29b5959c85fb707f6_1724733372881.png,0,0,0,1,0,0,0,0,0,1
23,10회,518,고궁음악회 발레x수제천,고궁음악회 발레x수제천,고궁음악회 발레x수제천,경복궁,공연,관람형,사전예약,2024-10-10,2024-10-13,4,2024,10,가을,1,19:00,20:10,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=518&searchRound=23&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202408/74787dd67dd647508c56f1f48b55ab3f_1724725777915.png,1,1,1,1,1,1,0,1,1,1
23,10회,516,경복궁 생과방,경복궁 생과방,생과방,경복궁,체험,참여형,사전예약,2024-09-04,2024-10-31,58,2024,9,가을,1,10:00,11:40,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=516&searchRound=23&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202408/670ad368703347e58a3950a27c25eaf6_1724635146793.jpg,0,1,1,0,1,0,0,1,1,1
23,10회,511,궁중문화축전 스탬프 투어,스탬프 투어,스탬프 투어,경복궁,체험,참여형,현장참여,2024-10-09,2024-10-13,5,2024,10,가을,1,09:00,18:00,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=511&searchRound=23&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202408/bf5dd93e017246b68cc2bd9eb3b5063d_1724382870864.jpg,1,0,0,0,1,1,0,0,1,1
23,10회,328,수문장 교대의식,수문장 교대의식,수문장 교대의식,경복궁,재현,관람형,현장참여,2024-10-09,2024-10-13,5,2024,10,가을,1,10:00,14:00,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=328&searchRound=23&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202304/f862b315f7b646098ac96d1a2f74a752_1681741485825.PNG,0,0,0,0,0,0,0,0,0,0
23,10회,512,궁중문화축전 스탬프 투어,스탬프 투어,스탬프 투어,경복궁,체험,참여형,현장참여,2024-10-09,2024-10-13,5,2024,10,가을,1,09:00,18:00,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=512&searchRound=23&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202408/8640d18a53614aa58ef2b214ee13c4a9_1724383425851.JPG,1,0,0,0,1,1,0,0,1,1
23,10회,513,궁중문화축전 스탬프 투어,스탬프 투어,스탬프 투어,경복궁,체험,참여형,현장참여,2024-10-09,2024-10-13,5,2024,10,가을,1,09:00,18:00,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=513&searchRound=23&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202408/7b10e281b14d45898186e7537e8fc212_1724383304933.JPG,1,0,0,0,1,1,0,0,1,1
23,10회,521,궁중문화축전 길놀이,길놀이,길놀이,경복궁,공연,관람형,현장참여,2024-10-13,2024-10-13,1,2024,10,가을,1,14:00,16:00,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=521&searchRound=23&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202408/a18bfef5a53b4a55829d4e17340d30ba_1724733438248.png,0,0,0,1,0,0,0,0,0,1
23,10회,514,궁중문화축전 스탬프 투어,스탬프 투어,스탬프 투어,경복궁,체험,참여형,현장참여,2024-10-09,2024-10-13,5,2024,10,가을,1,09:00,18:00,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=514&searchRound=23&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202408/1495c5328ff24c3881e7e02038eb390b_1724383128593.jpg,1,0,0,0,1,1,0,0,1,1
23,10회,515,궁중문화축전 스탬프 투어,스탬프 투어,스탬프 투어,경복궁,체험,참여형,현장참여,2024-10-09,2024-10-13,5,2024,10,가을,1,09:00,18:00,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=515&searchRound=23&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202408/007fbf2e3e134d99a36052cc3d9e7220_1724383095704.jpg,1,0,0,0,1,1,0,0,1,1
23,10회,532,한복 베스트 드레서 선발 이벤트,한복 베스트 드레서 선발 이벤트,한복 베스트 드레서 선발 이벤트,경복궁,체험,참여형,현장참여,2024-10-09,2024-10-13,5,2024,10,가을,1,10:00,17:00,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=532&searchRound=23&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202409/218c5fbba25148f58ffcbad0f9e20912_1725271605354.jpg,1,0,0,0,1,0,1,0,0,0
20,10회,486,궁중문화축전 길놀이(경복궁),길놀이(경복궁),길놀이(경복궁),경복궁,공연,관람형,현장참여,2024-05-04,2024-05-04,1,2024,5,봄,1,14:30,16:00,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=486&searchRound=20&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202404/2847249b7aa84337a9acacb7bb35a539_1712824917658.jpg,0,1,0,1,0,0,0,0,0,1
20,10회,485,"시간여행, 세종-마음으로, 궁","시간여행, 세종-마음으로, 궁","시간여행, 세종-마음으로, 궁",경복궁,체험,참여형,현장참여,2024-05-04,2024-05-05,2,2024,5,봄,1,11:00,13:00,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=485&searchRound=20&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202404/713fbc489c2e4224b30979f2b806ce52_1712824009648.jpg,0,0,0,0,1,0,0,0,0,0
20,10회,484,K-Heritage 마켓,K-Heritage 마켓,K-Heritage 마켓,경복궁,체험,참여형,현장참여,2024-04-27,2024-05-05,9,2024,4,봄,1,10:00,17:00,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=484&searchRound=20&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202404/4783a97976674300bf38db0619571ea1_1712823761959.jpg,1,0,0,0,1,0,0,0,0,1
20,10회,483,세종대왕자태실 태봉출 의식 재현,세종대왕자태실 태봉출 의식 재현,세종대왕자태실 태봉출 의식 재현,경복궁,재현,관람형,현장참여,2024-04-30,2024-04-30,1,2024,4,봄,1,14:00,16:00,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=483&searchRound=20&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202404/21deba72abe1458a9f5adf7cccdf411c_1712821934425.jpg,0,0,0,0,0,0,0,0,0,0
20,10회,464,어차 MZ 워크샵,어차 MZ 워크샵,어차 MZ 워크샵,경복궁,체험,참여형,사전예약,2024-05-01,2024-05-01,1,2024,5,봄,1,10:10,13:30,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=464&searchRound=20&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202404/53e23d3eee254b5ba7efa38112e5a6e6_1712243711700.JPG,0,1,0,0,1,0,0,1,0,0
20,10회,462,"시간여행, 세종-궁중 일상재현","시간여행, 세종-궁중 일상재현","시간여행, 세종-궁중 일상재현",경복궁,공연,관람형,현장참여,2024-05-01,2024-05-05,5,2024,5,봄,1,11:00,15:00,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=462&searchRound=20&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202404/3cbab2d103854f6da4b4d4d5b4e86993_1711963752613.png,0,0,0,1,0,1,0,0,0,1
20,10회,459,"시간여행, 세종-궁중새내기","시간여행, 세종-궁중새내기","시간여행, 세종-궁중새내기",경복궁,체험,참여형,사전예약,2024-05-01,2024-05-05,5,2024,5,봄,1,10:30,14:30,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=459&searchRound=20&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202404/b090388bc5fe4a90866361636a307870_1711962857395.png,1,1,0,1,1,0,0,1,1,1
