date,round_id,round_label,program_idx,title_original,title_clean,title_base,place_single,program_type_clean,program_type_group,participation_type_clean,year,month,day,weekday,weekday_kr,is_weekend,season,has_time,start_time_first,end_time_first,duration_minutes_first,has_reward,has_children,has_night,has_music,has_food,has_guide,has_hanbok,has_reservation_notice,has_fee_info,has_rain_notice
2025-05-03,26,11회,573,궁중문화축전 길놀이-경복궁,길놀이-경복궁,길놀이,경복궁,공연,관람형,현장참여,2025,5,3,Saturday,토,1,봄,1,14:30,16:00,50,0,0,0,1,1,0,0,0,0,0
2025-04-26,26,11회,572,봄날의 경회루,날의 경회루,날의 경회루,경복궁,체험,참여형,현장참여,2025,4,26,Saturday,토,1,봄,1,11:00,15:00,90,0,1,0,1,1,0,0,1,1,1
2025-04-27,26,11회,572,봄날의 경회루,날의 경회루,날의 경회루,경복궁,체험,참여형,현장참여,2025,4,27,Sunday,일,1,봄,1,11:00,15:00,90,0,1,0,1,1,0,0,1,1,1
2025-04-28,26,11회,572,봄날의 경회루,날의 경회루,날의 경회루,경복궁,체험,참여형,현장참여,2025,4,28,Monday,월,0,봄,1,11:00,15:00,90,0,1,0,1,1,0,0,1,1,1
2025-04-29,26,11회,572,봄날의 경회루,날의 경회루,날의 경회루,경복궁,체험,참여형,현장참여,2025,4,29,Tuesday,화,0,봄,1,11:00,15:00,90,0,1,0,1,1,0,0,1,1,1
2025-04-30,26,11회,572,봄날의 경회루,날의 경회루,날의 경회루,경복궁,체험,참여형,현장참여,2025,4,30,Wednesday,수,0,봄,1,11:00,15:00,90,0,1,0,1,1,0,0,1,1,1
2025-05-01,26,11회,572,봄날의 경회루,날의 경회루,날의 경회루,경복궁,체험,참여형,현장참여,2025,5,1,Thursday,목,0,봄,1,11:00,15:00,90,0,1,0,1,1,0,0,1,1,1
2025-05-02,26,11회,572,봄날의 경회루,날의 경회루,날의 경회루,경복궁,체험,참여형,현장참여,2025,5,2,Friday,금,0,봄,1,11:00,15:00,90,0,1,0,1,1,0,0,1,1,1
2025-05-03,26,11회,572,봄날의 경회루,날의 경회루,날의 경회루,경복궁,체험,참여형,현장참여,2025,5,3,Saturday,토,1,봄,1,11:00,15:00,90,0,1,0,1,1,0,0,1,1,1
2025-05-04,26,11회,572,봄날의 경회루,날의 경회루,날의 경회루,경복궁,체험,참여형,현장참여,2025,5,4,Sunday,일,1,봄,1,11:00,15:00,90,0,1,0,1,1,0,0,1,1,1
2025-05-02,26,11회,571,어린이 궁중문화축전-궁중직업실록,어린이 궁중문화축전-궁중직업실록,어린이 궁중문화축전-궁중직업실록,경복궁,체험,참여형,현장참여,2025,5,2,Friday,금,0,봄,1,10:00,17:30,,0,1,0,1,0,0,0,1,1,0
2025-05-03,26,11회,571,어린이 궁중문화축전-궁중직업실록,어린이 궁중문화축전-궁중직업실록,어린이 궁중문화축전-궁중직업실록,경복궁,체험,참여형,현장참여,2025,5,3,Saturday,토,1,봄,1,10:00,17:30,,0,1,0,1,0,0,0,1,1,0
2025-05-04,26,11회,571,어린이 궁중문화축전-궁중직업실록,어린이 궁중문화축전-궁중직업실록,어린이 궁중문화축전-궁중직업실록,경복궁,체험,참여형,현장참여,2025,5,4,Sunday,일,1,봄,1,10:00,17:30,,0,1,0,1,0,0,0,1,1,0
2025-04-26,26,11회,570,K-Heritage마켓,K-Heritage마켓,K-Heritage마켓,경복궁,체험,참여형,현장참여,2025,4,26,Saturday,토,1,봄,1,10:00,17:00,,1,0,0,0,1,0,0,0,0,0
2025-04-27,26,11회,570,K-Heritage마켓,K-Heritage마켓,K-Heritage마켓,경복궁,체험,참여형,현장참여,2025,4,27,Sunday,일,1,봄,1,10:00,17:00,,1,0,0,0,1,0,0,0,0,0
2025-04-28,26,11회,570,K-Heritage마켓,K-Heritage마켓,K-Heritage마켓,경복궁,체험,참여형,현장참여,2025,4,28,Monday,월,0,봄,1,10:00,17:00,,1,0,0,0,1,0,0,0,0,0
2025-04-29,26,11회,570,K-Heritage마켓,K-Heritage마켓,K-Heritage마켓,경복궁,체험,참여형,현장참여,2025,4,29,Tuesday,화,0,봄,1,10:00,17:00,,1,0,0,0,1,0,0,0,0,0
2025-04-30,26,11회,570,K-Heritage마켓,K-Heritage마켓,K-Heritage마켓,경복궁,체험,참여형,현장참여,2025,4,30,Wednesday,수,0,봄,1,10:00,17:00,,1,0,0,0,1,0,0,0,0,0
2025-05-01,26,11회,570,K-Heritage마켓,K-Heritage마켓,K-Heritage마켓,경복궁,체험,참여형,현장참여,2025,5,1,Thursday,목,0,봄,1,10:00,17:00,,1,0,0,0,1,0,0,0,0,0
2025-05-02,26,11회,570,K-Heritage마켓,K-Heritage마켓,K-Heritage마켓,경복궁,체험,참여형,현장참여,2025,5,2,Friday,금,0,봄,1,10:00,17:00,,1,0,0,0,1,0,0,0,0,0
2025-05-03,26,11회,570,K-Heritage마켓,K-Heritage마켓,K-Heritage마켓,경복궁,체험,참여형,현장참여,2025,5,3,Saturday,토,1,봄,1,10:00,17:00,,1,0,0,0,1,0,0,0,0,0
2025-05-04,26,11회,570,K-Heritage마켓,K-Heritage마켓,K-Heritage마켓,경복궁,체험,참여형,현장참여,2025,5,4,Sunday,일,1,봄,1,10:00,17:00,,1,0,0,0,1,0,0,0,0,0
2025-04-26,26,11회,569,"시간여행, 세종-한밤의 시간여행","시간여행, 세종-한밤의 시간여행","시간여행, 세종-한밤의 시간여행",경복궁,복합,복합형,사전예약,2025,4,26,Saturday,토,1,봄,1,19:00,21:00,,0,1,1,1,1,0,0,1,1,1
2025-04-27,26,11회,569,"시간여행, 세종-한밤의 시간여행","시간여행, 세종-한밤의 시간여행","시간여행, 세종-한밤의 시간여행",경복궁,복합,복합형,사전예약,2025,4,27,Sunday,일,1,봄,1,19:00,21:00,,0,1,1,1,1,0,0,1,1,1
2025-04-28,26,11회,569,"시간여행, 세종-한밤의 시간여행","시간여행, 세종-한밤의 시간여행","시간여행, 세종-한밤의 시간여행",경복궁,복합,복합형,사전예약,2025,4,28,Monday,월,0,봄,1,19:00,21:00,,0,1,1,1,1,0,0,1,1,1
2025-04-29,26,11회,569,"시간여행, 세종-한밤의 시간여행","시간여행, 세종-한밤의 시간여행","시간여행, 세종-한밤의 시간여행",경복궁,복합,복합형,사전예약,2025,4,29,Tuesday,화,0,봄,1,19:00,21:00,,0,1,1,1,1,0,0,1,1,1
2025-04-30,26,11회,569,"시간여행, 세종-한밤의 시간여행","시간여행, 세종-한밤의 시간여행","시간여행, 세종-한밤의 시간여행",경복궁,복합,복합형,사전예약,2025,4,30,Wednesday,수,0,봄,1,19:00,21:00,,0,1,1,1,1,0,0,1,1,1
2025-04-26,26,11회,568,"시간여행, 세종-궁중새내기","시간여행, 세종-궁중새내기","시간여행, 세종-궁중새내기",경복궁,복합,복합형,사전예약,2025,4,26,Saturday,토,1,봄,1,10:00,14:00,,0,1,0,1,1,0,0,1,1,1
2025-04-27,26,11회,568,"시간여행, 세종-궁중새내기","시간여행, 세종-궁중새내기","시간여행, 세종-궁중새내기",경복궁,복합,복합형,사전예약,2025,4,27,Sunday,일,1,봄,1,10:00,14:00,,0,1,0,1,1,0,0,1,1,1
2025-04-28,26,11회,568,"시간여행, 세종-궁중새내기","시간여행, 세종-궁중새내기","시간여행, 세종-궁중새내기",경복궁,복합,복합형,사전예약,2025,4,28,Monday,월,0,봄,1,10:00,14:00,,0,1,0,1,1,0,0,1,1,1
2025-04-29,26,11회,568,"시간여행, 세종-궁중새내기","시간여행, 세종-궁중새내기","시간여행, 세종-궁중새내기",경복궁,복합,복합형,사전예약,2025,4,29,Tuesday,화,0,봄,1,10:00,14:00,,0,1,0,1,1,0,0,1,1,1
2025-04-30,26,11회,568,"시간여행, 세종-궁중새내기","시간여행, 세종-궁중새내기","시간여행, 세종-궁중새내기",경복궁,복합,복합형,사전예약,2025,4,30,Wednesday,수,0,봄,1,10:00,14:00,,0,1,0,1,1,0,0,1,1,1
2025-04-26,26,11회,567,"시간여행, 세종-궁중 일상재현","시간여행, 세종-궁중 일상재현","시간여행, 세종-궁중 일상재현",경복궁,복합,복합형,현장참여,2025,4,26,Saturday,토,1,봄,1,11:00,15:00,,0,0,0,1,1,1,0,1,0,1
2025-04-27,26,11회,567,"시간여행, 세종-궁중 일상재현","시간여행, 세종-궁중 일상재현","시간여행, 세종-궁중 일상재현",경복궁,복합,복합형,현장참여,2025,4,27,Sunday,일,1,봄,1,11:00,15:00,,0,0,0,1,1,1,0,1,0,1
2025-04-28,26,11회,567,"시간여행, 세종-궁중 일상재현","시간여행, 세종-궁중 일상재현","시간여행, 세종-궁중 일상재현",경복궁,복합,복합형,현장참여,2025,4,28,Monday,월,0,봄,1,11:00,15:00,,0,0,0,1,1,1,0,1,0,1
