ÀÏÀÚ,°æº¹±Ã(À¯·á),°æº¹±Ã(¹«·á),°æº¹±Ã(³»±¹ÀÎ),°æº¹±Ã(¿µ¾î±Ç),°æº¹±Ã(ÀÏ¾î±Ç),°æº¹±Ã(Áß¾î±Ç),°æº¹±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢´ö±Ã(À¯·á),Ã¢´ö±Ã(¹«·á),Ã¢´ö±Ã(³»±¹ÀÎ),Ã¢´ö±Ã(¿µ¾î±Ç),Ã¢´ö±Ã(ÀÏ¾î±Ç),Ã¢´ö±Ã(Áß¾î±Ç),Ã¢´ö±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢°æ±Ã(À¯·á),Ã¢°æ±Ã(¹«·á),Ã¢°æ±Ã(³»±¹ÀÎ),Ã¢°æ±Ã(¿µ¾î±Ç),Ã¢°æ±Ã(ÀÏ¾î±Ç),Ã¢°æ±Ã(Áß¾î±Ç),Ã¢°æ±Ã(±âÅ¸¿Ü±¹ÀÎ),´ö¼ö±Ã(À¯·á),´ö¼ö±Ã(¹«·á),´ö¼ö±Ã(³»±¹ÀÎ),´ö¼ö±Ã(¿µ¾î±Ç),´ö¼ö±Ã(ÀÏ¾î±Ç),´ö¼ö±Ã(Áß¾î±Ç),´ö¼ö±Ã(±âÅ¸¿Ü±¹ÀÎ),Á¾¹¦(À¯·á),Á¾¹¦(¹«·á),Á¾¹¦(³»±¹ÀÎ),Á¾¹¦(¿µ¾î±Ç),Á¾¹¦(ÀÏ¾î±Ç),Á¾¹¦(Áß¾î±Ç),Á¾¹¦(±âÅ¸¿Ü±¹ÀÎ)
2024-03-05,0,0,0,0,0,0,0,1696,1037,1374,746,230,89,294,664,492,860,265,13,1,17,1678,7099,7217,418,176,424,542,0,0,0,0,0,0,0
2024-03-06,5195,7240,8933,2007,702,546,247,1485,978,1511,697,151,18,86,675,668,1127,167,25,1,23,870,7832,8063,390,110,47,92,173,108,178,48,39,8,8
2024-03-07,4558,6101,3440,2337,763,1838,2281,1003,678,1035,448,107,36,55,489,405,665,189,18,1,21,991,5444,5613,426,133,89,174,137,62,106,34,55,0,4
2024-03-08,5865,6276,8706,1591,613,927,304,1612,995,1554,751,120,17,165,607,546,896,229,13,2,13,908,6742,6879,477,184,20,90,223,112,191,46,76,12,10
2024-03-09,9480,9535,13530,3295,863,841,486,3034,1751,3640,632,248,81,184,1558,1229,2509,243,13,2,20,2504,7986,9498,590,180,94,128,1291,664,1648,126,113,3,65
2024-03-10,8448,9024,12772,2371,868,651,810,3232,1576,3482,869,170,44,243,1497,1381,2574,270,19,5,10,2200,5920,7272,518,123,47,160,1196,626,1448,239,101,12,22
2024-03-11,6031,6560,6980,2533,671,1132,1275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,143,235,96,102,8,2
2024-03-12,0,0,0,0,0,0,0,2276,1270,1867,1102,314,107,156,717,573,966,288,12,0,24,2196,6029,5515,477,121,1728,384,0,0,0,0,0,0,0
2024-03-13,7559,8088,10828,2620,821,1143,235,2705,1333,2766,792,152,11,317,955,837,1480,261,11,30,10,1287,6190,6530,604,166,41,136,275,162,269,71,60,5,32
2024-03-14,6169,8332,11365,1814,520,477,325,2489,1388,2831,593,139,20,294,1085,878,1680,240,15,9,19,1598,8222,8675,655,227,52,211,263,128,261,70,45,3,12
2024-03-15,6588,7371,7681,3025,666,1887,700,3117,1825,3730,895,218,20,79,1150,1086,1954,237,11,4,30,1799,8580,9297,633,155,180,114,255,123,250,54,40,11,23
2024-03-16,12165,13085,19970,3042,870,1019,349,6301,3457,8284,991,171,58,254,3066,2316,5018,311,14,7,32,3678,10455,12636,837,260,112,288,1977,1055,2599,293,108,6,26
2024-03-17,9023,10019,14171,2723,1007,583,558,4124,2581,5009,1245,232,76,143,1945,1693,3230,308,31,10,59,2277,5447,6290,956,186,108,184,1226,737,1522,254,154,3,30
2024-03-18,8521,9422,12992,3097,881,584,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,177,300,169,153,8,18
2024-03-19,0,0,0,0,0,0,0,3533,1633,2494,2058,242,143,229,992,719,1094,491,49,22,55,2358,5524,5116,875,208,892,791,0,0,0,0,0,0,0
2024-03-20,9050,9793,13173,3897,741,579,453,3104,1530,2731,1373,221,13,296,999,968,1473,463,28,2,1,1376,7142,7088,882,200,134,214,305,146,218,103,116,7,7
2024-03-21,7995,9201,11868,2645,863,931,889,3235,2231,3998,1032,85,23,328,1173,1062,1817,315,23,31,49,1575,7920,8106,892,223,73,201,305,237,343,121,72,5,1
2024-03-22,7151,8701,11547,2687,800,600,218,3254,1979,3595,939,198,79,422,938,932,1501,276,50,5,38,1330,8010,8112,838,146,43,201,309,141,228,132,67,18,5
2024-03-23,14334,16707,23523,4800,925,881,912,7234,5166,10452,1434,147,43,324,4175,2933,6524,546,19,5,14,4382,11027,13381,1178,323,98,429,1971,983,2364,322,122,25,121
2024-03-24,12350,13688,15945,5285,2179,2277,352,8132,4820,10457,1642,349,16,488,4116,3346,6857,499,46,12,48,3811,6819,9050,1046,188,72,274,1692,865,1931,277,140,9,200
2024-03-25,8399,9981,12229,3802,997,652,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,101,129,153,89,12,14
2024-03-26,0,0,0,0,0,0,0,4876,3040,4778,1944,224,43,927,1722,1758,2624,670,50,52,84,2932,8748,8487,1465,249,1016,463,0,0,0,0,0,0,0
2024-03-27,0,52706,23911,6326,3950,9592,8927,1138,14882,12424,2287,806,364,139,0,13910,11573,0,0,0,2337,0,20708,18558,1375,185,116,474,0,2803,2803,0,0,0,0
2024-03-28,7363,8565,10167,2949,718,1532,562,3390,1733,3323,1422,87,62,229,1173,1042,1667,427,18,35,68,1496,5992,6209,777,210,59,233,403,98,182,133,126,54,6
2024-03-29,7383,9215,10953,3828,770,549,498,4064,2266,4349,1575,91,10,305,1427,1512,2327,441,23,41,107,1701,4873,5273,903,145,101,152,258,85,151,134,48,7,3
2024-03-30,14130,14901,15171,9978,920,1645,1317,10703,5405,13775,1700,91,141,401,5942,5204,10299,635,41,63,108,4300,10512,13054,1157,193,101,307,1806,904,2108,464,94,9,35
2024-03-31,13846,14631,21476,4560,829,1041,571,11084,6300,15184,1562,122,63,453,6044,5408,10652,690,7,13,90,4856,8859,11841,1298,122,150,304,1634,772,1820,498,78,4,6
2024-04-01,10930,13726,16406,5127,602,1619,902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,213,346,225,35,12,12
2024-04-02,0,0,0,0,0,0,0,8062,6577,11178,2027,99,59,1276,3968,4635,7460,1101,6,13,23,4939,12741,15033,1606,306,419,316,0,0,0,0,0,0,0
2024-04-03,9718,16908,20754,3232,522,1458,660,5121,3863,6579,1659,128,58,560,2320,2466,4165,508,30,14,69,3467,8969,10544,1277,146,229,240,363,144,245,200,44,12,6
2024-04-04,9661,16184,19826,3175,369,1935,540,5963,3779,7489,1517,78,79,579,3597,3302,6184,670,11,15,19,4987,13593,16957,1080,121,264,158,332,234,349,149,39,15,14
2024-04-05,11464,13834,18410,3720,479,2084,605,6195,5919,9693,1739,78,101,503,3718,4259,7228,686,5,17,41,6365,11932,16583,1268,109,88,249,447,572,727,187,74,27,4
2024-04-06,16160,17759,23690,5276,1445,2016,1492,10668,6430,14851,1366,100,50,731,7978,6418,13698,638,11,11,38,9426,15241,22741,1343,129,141,313,2199,1183,2847,277,69,37,152
2024-04-07,14287,17296,21257,5152,1296,2405,1473,8974,5894,12521,1895,64,18,370,6307,5124,10605,653,9,35,129,7582,9430,15121,1414,128,121,228,1672,765,1903,335,55,21,123
2024-04-08,10251,11940,10791,6375,308,1533,3184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488,230,423,255,30,3,7
2024-04-09,0,0,0,0,0,0,0,6430,4701,8322,2200,53,57,499,3343,3404,5798,799,15,36,99,5377,13386,16183,1601,129,215,635,0,0,0,0,0,0,0
2024-04-10,15962,19812,29862,4656,225,657,374,7745,5480,10969,1635,92,27,502,4611,4557,8563,528,7,4,66,5162,10778,14363,1101,59,101,316,1934,929,2413,257,38,44,111
2024-04-11,7700,11066,14448,3156,213,815,134,3879,2611,4674,1149,43,55,569,1708,2051,3291,367,14,67,20,2474,10340,11423,984,66,102,239,308,194,307,156,30,7,2
2024-04-12,9801,12750,13350,3371,1275,2107,2448,4564,2806,5154,1613,124,20,459,2224,2169,3775,582,6,12,18,3324,11240,13089,1080,58,150,187,369,211,368,110,52,5,45
2024-04-13,14714,15987,18286,2777,397,549,8692,6974,4439,9145,1800,56,48,364,4184,3336,6971,479,6,8,56,5452,9864,13340,1141,213,224,398,1680,975,2221,327,78,4,25
2024-04-14,11597,13576,20375,3248,444,686,420,5538,2828,6284,1518,81,32,451,2941,2550,4929,525,2,21,14,3594,6103,8159,1070,151,111,206,1248,747,1516,397,63,4,15
2024-04-15,5163,5965,5361,4115,544,429,679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,67,161,63,30,11,13
2024-04-16,0,0,0,0,0,0,0,4930,3711,5378,2676,59,341,187,1739,1538,2548,688,5,21,15,2876,10960,11879,1239,132,416,170,0,0,0,0,0,0,0
2024-04-17,10465,17981,23497,3717,300,789,143,3829,2003,3650,1582,154,57,389,1621,1374,2429,491,17,42,16,2409,10951,12040,883,95,93,249,357,267,408,154,47,13,2
