ÀÏÀÚ,°æº¹±Ã(À¯·á),°æº¹±Ã(¹«·á),°æº¹±Ã(³»±¹ÀÎ),°æº¹±Ã(¿µ¾î±Ç),°æº¹±Ã(ÀÏ¾î±Ç),°æº¹±Ã(Áß¾î±Ç),°æº¹±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢´ö±Ã(À¯·á),Ã¢´ö±Ã(¹«·á),Ã¢´ö±Ã(³»±¹ÀÎ),Ã¢´ö±Ã(¿µ¾î±Ç),Ã¢´ö±Ã(ÀÏ¾î±Ç),Ã¢´ö±Ã(Áß¾î±Ç),Ã¢´ö±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢°æ±Ã(À¯·á),Ã¢°æ±Ã(¹«·á),Ã¢°æ±Ã(³»±¹ÀÎ),Ã¢°æ±Ã(¿µ¾î±Ç),Ã¢°æ±Ã(ÀÏ¾î±Ç),Ã¢°æ±Ã(Áß¾î±Ç),Ã¢°æ±Ã(±âÅ¸¿Ü±¹ÀÎ),´ö¼ö±Ã(À¯·á),´ö¼ö±Ã(¹«·á),´ö¼ö±Ã(³»±¹ÀÎ),´ö¼ö±Ã(¿µ¾î±Ç),´ö¼ö±Ã(ÀÏ¾î±Ç),´ö¼ö±Ã(Áß¾î±Ç),´ö¼ö±Ã(±âÅ¸¿Ü±¹ÀÎ),Á¾¹¦(À¯·á),Á¾¹¦(¹«·á),Á¾¹¦(³»±¹ÀÎ),Á¾¹¦(¿µ¾î±Ç),Á¾¹¦(ÀÏ¾î±Ç),Á¾¹¦(Áß¾î±Ç),Á¾¹¦(±âÅ¸¿Ü±¹ÀÎ)
2025-02-07,3590,4459,4037,1662,313,707,1330,935,809,1345,240,56,19,84,322,426,643,89,5,4,7,951,3004,3535,200,55,89,76,242,115,278,43,31,4,1
2025-02-08,4613,6092,6299,2120,356,656,1274,1602,1429,2385,459,32,96,59,709,814,1362,111,18,7,25,1983,5162,6553,309,84,57,142,690,424,941,146,24,2,1
2025-02-09,5120,6365,8727,1171,484,706,397,1631,1058,2012,539,100,14,24,736,999,1533,168,18,3,13,2161,4433,5789,357,139,158,151,748,437,971,112,79,6,17
2025-02-10,4395,6617,8658,1246,481,495,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,158,330,34,56,12,6
2025-02-11,0,0,0,0,0,0,0,1939,2683,3527,955,76,34,30,792,1361,1863,210,36,33,11,1816,7253,8285,376,80,191,137,0,0,0,0,0,0,0
2025-02-12,3420,6590,8282,820,191,610,107,1006,1451,1997,397,32,21,10,447,912,1226,104,15,3,11,1622,3812,4754,281,68,40,291,236,150,321,26,29,6,4
2025-02-13,3914,6043,8380,941,241,241,154,1098,1390,1991,329,29,50,89,611,1198,1669,96,12,9,23,1552,7342,8213,264,111,67,239,260,165,357,51,13,1,3
2025-02-14,4701,6439,9202,1080,236,471,151,1424,1752,2571,399,66,39,101,740,1543,2094,132,32,3,22,2179,9393,10729,401,92,153,197,257,197,381,43,19,11,0
2025-02-15,6549,7899,10156,2145,336,428,1383,2406,2080,3889,473,49,20,55,1567,1922,3298,130,27,8,26,3600,11858,14526,476,157,138,161,1566,937,2294,122,57,13,17
2025-02-16,6638,8488,10095,1268,1297,1271,1195,2328,1895,3469,542,102,19,91,1268,2140,3205,159,27,10,7,2981,7054,9307,413,94,81,140,1238,842,1867,135,68,4,6
2025-02-17,4910,7036,6817,1667,382,1668,1412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,211,381,84,23,6,2
2025-02-18,0,0,0,0,0,0,0,1803,1364,1994,831,88,27,227,592,966,1297,233,14,12,2,1267,6430,6755,420,81,330,111,0,0,0,0,0,0,0
2025-02-19,4416,5958,6039,2345,338,338,1314,1108,1082,1536,506,54,5,89,471,984,1227,163,19,3,43,973,5317,5627,328,123,60,152,184,151,243,38,40,4,10
2025-02-20,3975,5218,5548,2067,257,252,1069,1055,1304,1667,475,148,34,35,485,894,1203,129,20,12,15,1106,6894,7327,364,103,58,148,192,119,245,34,30,2,0
2025-02-21,4568,5582,7230,1065,289,337,1229,1216,1477,2077,395,112,33,76,508,687,1015,167,10,2,1,1217,6551,7061,339,115,136,117,276,186,332,70,56,0,4
2025-02-22,6050,7542,8349,3178,456,431,1178,2171,1975,3418,523,134,29,42,1305,1479,2509,231,30,10,4,2101,8300,9754,348,117,72,110,1304,772,1776,235,57,3,5
2025-02-23,6275,8057,8484,2287,738,1503,1320,1993,1591,2685,531,250,18,100,836,1242,1864,162,42,7,3,1774,4360,5489,327,100,55,163,866,637,1249,173,64,14,3
2025-02-24,4930,7100,9609,1302,469,417,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,154,0,0,0,0,268,201,346,73,39,7,4
2025-02-25,0,0,0,0,0,0,0,2194,1753,2737,862,139,98,111,733,788,1282,174,39,8,18,1519,6725,7298,485,143,103,215,0,0,0,0,0,0,0
2025-02-26,0,23949,11660,3165,2389,3764,2971,516,7236,5535,1165,345,661,46,0,6316,6167,149,0,0,0,0,14501,13497,543,61,129,271,0,2604,2604,0,0,0,0
2025-02-27,4752,7285,8067,2106,310,400,1154,1591,2036,3010,511,39,25,42,904,1577,2276,185,11,4,5,1661,10663,11696,350,108,73,97,351,309,560,74,13,7,6
2025-02-28,5318,8544,8504,4288,297,475,298,1799,1578,2760,371,99,39,108,962,1341,2089,173,20,2,19,1861,9071,10313,394,66,105,54,365,274,555,52,24,7,1
2025-03-01,8221,10289,14275,3282,304,381,268,3252,3397,5792,513,110,99,135,1966,2240,3964,207,17,5,13,1201,4405,5428,94,14,68,2,1609,1056,2423,165,55,7,15
2025-03-02,7646,8420,13769,1193,380,429,295,2768,1806,3866,541,102,6,59,1280,1924,2970,184,23,12,15,2596,5322,7187,395,124,96,116,1177,754,1700,161,55,5,10
2025-03-03,5588,5680,8403,1416,396,623,430,1763,2115,3482,332,36,8,20,714,1371,1975,70,15,4,21,1422,6026,6718,388,154,66,122,999,733,1524,151,41,3,13
2025-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-05,4053,6359,4915,2598,1468,1200,231,1595,1360,1987,678,108,37,145,604,1276,1632,194,22,2,30,1225,6513,6972,477,130,47,112,229,100,224,58,43,0,4
2025-03-06,4546,6497,6225,3425,583,592,218,1714,1475,2049,738,226,23,153,696,1007,1420,249,18,2,14,979,7662,8102,381,71,30,57,241,141,251,72,53,4,2
2025-03-07,4444,5569,7622,1372,522,427,70,1769,1150,1965,751,107,14,82,1087,1253,2027,244,44,9,16,1240,8263,8824,455,89,18,117,306,176,354,83,36,7,2
2025-03-08,6997,9260,10558,1536,593,1363,2207,3430,2383,4239,1203,160,89,122,2966,2683,5231,332,37,17,32,1928,13002,13959,565,156,76,174,1863,1035,2440,341,101,3,13
2025-03-09,7478,8673,12442,2386,695,438,190,3354,2238,4125,1170,135,33,129,2355,2484,4406,323,53,3,54,2047,6368,7441,573,183,66,152,1486,939,2018,286,103,3,15
2025-03-10,5611,7282,9148,2254,668,504,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381,158,346,133,55,5,0
2025-03-11,0,0,0,0,0,0,0,3163,3132,4008,1685,329,47,226,1489,1710,2700,376,42,5,76,2091,9438,9859,659,183,351,477,0,0,0,0,0,0,0
2025-03-12,5910,7590,8924,3193,676,490,217,2008,1540,2213,1008,184,16,127,895,1009,1531,265,48,5,55,958,7107,7275,479,117,45,149,252,101,177,94,78,3,1
